               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09687,             0.02195,            0.068436,            0.011035,              0.9661,            0.020573,            0.005301,            0.058809,            0.018602,            0.052641,               0.082,               0.002,               0.002
                   1,            0.071456,            0.025202,            0.045603,             0.11444,             0.62962,             0.12539,            0.034016,             0.06404,            0.013003,            0.041493,            0.063059,           0.0040594,           0.0040594
                   2,            0.067185,             0.01859,            0.035485,             0.38387,             0.67615,              0.4244,             0.14153,            0.070836,            0.012884,            0.034385,            0.044077,           0.0060772,           0.0060772
                   3,            0.068059,            0.016902,            0.033884,              0.2468,             0.41268,             0.27092,             0.10191,            0.061828,            0.011044,            0.031682,            0.025053,           0.0080535,           0.0080535
                   4,            0.069008,            0.015966,              0.0333,             0.27481,             0.38731,             0.22761,            0.048038,            0.073409,           0.0093491,            0.030733,            0.009604,            0.009604,            0.009604
                   5,            0.067909,            0.015425,            0.032195,             0.21003,             0.49099,             0.21338,             0.11342,            0.070348,           0.0090748,            0.030759,            0.009604,            0.009604,            0.009604
                   6,            0.057613,             0.01528,            0.031347,             0.33391,             0.59725,             0.43874,              0.2464,            0.050361,           0.0087828,            0.030328,            0.009505,            0.009505,            0.009505
                   7,            0.053608,            0.014409,            0.031115,              0.3874,              0.8611,             0.47401,             0.19832,            0.056521,           0.0079297,            0.029216,            0.009406,            0.009406,            0.009406
                   8,            0.048615,            0.013347,            0.030584,             0.45902,              0.8441,             0.57423,             0.30117,            0.040432,           0.0072242,            0.028247,            0.009307,            0.009307,            0.009307
                   9,            0.043626,            0.012477,             0.02981,             0.40809,             0.88216,             0.54526,             0.35121,            0.034618,           0.0071346,            0.027516,            0.009208,            0.009208,            0.009208
                  10,            0.041412,            0.012484,            0.029366,             0.44277,             0.82578,             0.59609,             0.29669,            0.034376,            0.006941,              0.0268,            0.009109,            0.009109,            0.009109
                  11,            0.041034,            0.011421,            0.028709,             0.53411,              0.8934,              0.7519,             0.30101,            0.043008,           0.0065685,            0.025178,             0.00901,             0.00901,             0.00901
                  12,            0.039249,            0.010554,            0.027699,             0.61614,             0.93006,             0.80295,             0.41323,            0.042049,           0.0061541,            0.025552,            0.008911,            0.008911,            0.008911
                  13,            0.038614,            0.010468,            0.026221,              0.6699,             0.85419,             0.84368,             0.51709,            0.033129,           0.0059181,            0.022409,            0.008812,            0.008812,            0.008812
                  14,            0.037031,            0.010319,            0.024019,             0.78227,             0.88844,             0.90142,             0.52566,            0.034109,           0.0057561,            0.019227,            0.008713,            0.008713,            0.008713
                  15,            0.036765,            0.009983,            0.023593,              0.8548,             0.87789,             0.93768,             0.59763,            0.028386,           0.0058413,            0.019386,            0.008614,            0.008614,            0.008614
                  16,            0.034659,           0.0099632,            0.020048,             0.79303,             0.79847,             0.84896,             0.44186,            0.029537,           0.0055562,             0.01909,            0.008515,            0.008515,            0.008515
                  17,            0.033644,           0.0099732,             0.01934,             0.76084,             0.80364,             0.88012,             0.54448,            0.026666,           0.0055021,            0.016382,            0.008416,            0.008416,            0.008416
                  18,            0.034433,           0.0094094,            0.018492,             0.75111,             0.85564,             0.89437,             0.52964,             0.02896,           0.0055282,            0.013176,            0.008317,            0.008317,            0.008317
                  19,            0.030524,           0.0091668,            0.017377,             0.82148,             0.85087,             0.91603,             0.55242,            0.034146,           0.0053627,            0.013635,            0.008218,            0.008218,            0.008218
                  20,            0.033844,           0.0093572,            0.017176,              0.9522,             0.94409,             0.97656,             0.77295,            0.018615,           0.0049312,            0.011148,            0.008119,            0.008119,            0.008119
                  21,            0.031605,           0.0093249,            0.016715,               0.954,              0.9649,             0.98247,             0.65106,            0.024954,           0.0051481,            0.010789,             0.00802,             0.00802,             0.00802
                  22,            0.028985,           0.0093477,            0.014937,             0.93782,             0.97115,             0.98012,             0.76473,            0.019965,           0.0049365,            0.010999,            0.007921,            0.007921,            0.007921
                  23,            0.028128,           0.0088228,            0.015707,             0.93504,             0.94425,             0.96692,             0.73158,            0.021648,           0.0048854,            0.012494,            0.007822,            0.007822,            0.007822
                  24,             0.02882,           0.0086158,            0.015937,             0.95335,             0.95083,             0.97171,              0.6216,            0.025614,            0.004966,            0.012225,            0.007723,            0.007723,            0.007723
                  25,            0.029683,           0.0091101,            0.015972,             0.89613,             0.91763,             0.96463,             0.69781,              0.0243,           0.0050629,            0.011054,            0.007624,            0.007624,            0.007624
                  26,            0.026895,            0.008558,            0.014166,             0.88691,             0.89202,             0.96385,              0.7222,            0.023282,           0.0048506,            0.012506,            0.007525,            0.007525,            0.007525
                  27,            0.027419,           0.0082618,            0.014499,             0.88805,             0.94195,             0.96097,             0.64116,             0.02407,           0.0047322,           0.0095271,            0.007426,            0.007426,            0.007426
                  28,             0.02666,           0.0086636,            0.014404,             0.95786,             0.95854,             0.97882,             0.77184,            0.017679,           0.0044616,           0.0081736,            0.007327,            0.007327,            0.007327
                  29,              0.0265,           0.0085766,            0.012509,             0.95375,             0.93128,             0.97845,             0.75696,            0.019589,           0.0045285,            0.008279,            0.007228,            0.007228,            0.007228
                  30,            0.025995,           0.0083485,            0.013731,             0.95135,             0.95804,             0.98222,             0.77613,             0.01835,           0.0045075,           0.0084171,            0.007129,            0.007129,            0.007129
                  31,            0.024851,           0.0081923,             0.01214,             0.96622,             0.94655,             0.98499,             0.72424,            0.019181,           0.0044966,            0.007751,             0.00703,             0.00703,             0.00703
                  32,            0.025576,           0.0080249,            0.013494,             0.96454,             0.97055,             0.98935,              0.7741,            0.018254,           0.0044878,            0.007493,            0.006931,            0.006931,            0.006931
                  33,            0.025323,           0.0082543,            0.011691,             0.95797,              0.9605,              0.9779,             0.77752,            0.017888,           0.0044057,           0.0080062,            0.006832,            0.006832,            0.006832
                  34,            0.025249,           0.0082834,            0.012162,             0.96792,             0.96356,             0.98931,             0.69603,            0.021483,           0.0045519,           0.0079815,            0.006733,            0.006733,            0.006733
                  35,            0.024105,           0.0083611,            0.012269,             0.94828,             0.94082,             0.96939,              0.7046,            0.025355,           0.0045614,           0.0091257,            0.006634,            0.006634,            0.006634
                  36,            0.025389,           0.0083814,            0.013231,             0.95545,             0.95855,             0.97596,             0.74173,            0.019327,           0.0046324,           0.0084265,            0.006535,            0.006535,            0.006535
                  37,            0.024074,           0.0081367,            0.012467,             0.95478,             0.96514,             0.97258,             0.79047,            0.015963,           0.0044149,           0.0099014,            0.006436,            0.006436,            0.006436
                  38,            0.023945,           0.0078061,             0.01205,              0.9374,             0.96153,             0.98164,             0.71444,             0.01899,           0.0044942,           0.0092453,            0.006337,            0.006337,            0.006337
                  39,            0.022693,           0.0078654,            0.011262,             0.93511,             0.97863,             0.98639,             0.75519,             0.02158,           0.0044572,           0.0074073,            0.006238,            0.006238,            0.006238
                  40,            0.023406,            0.007673,             0.01045,             0.95202,             0.96637,             0.98304,             0.74846,            0.018966,           0.0044306,           0.0077507,            0.006139,            0.006139,            0.006139
                  41,            0.023044,           0.0074152,            0.010382,             0.95366,             0.95972,             0.97978,             0.74588,            0.016449,           0.0042304,           0.0086933,             0.00604,             0.00604,             0.00604
                  42,            0.022827,           0.0081435,             0.01087,             0.96292,             0.96675,             0.98929,             0.82052,            0.014825,           0.0041846,           0.0078768,            0.005941,            0.005941,            0.005941
                  43,            0.021558,           0.0078549,            0.011641,             0.91813,             0.91211,             0.97764,             0.79102,            0.017855,           0.0043008,            0.012676,            0.005842,            0.005842,            0.005842
                  44,            0.021396,           0.0075384,            0.010056,             0.88172,             0.94136,             0.97828,             0.77337,             0.01801,           0.0043249,            0.012956,            0.005743,            0.005743,            0.005743
                  45,            0.021144,           0.0077766,            0.010132,             0.95962,             0.97455,             0.98446,             0.80627,            0.017953,           0.0042312,           0.0088519,            0.005644,            0.005644,            0.005644
                  46,            0.020771,           0.0074388,            0.011853,             0.96776,             0.96812,             0.98783,             0.82959,            0.013685,           0.0040583,           0.0073933,            0.005545,            0.005545,            0.005545
                  47,            0.020957,           0.0075243,            0.011464,              0.9639,             0.97547,             0.98882,              0.7637,            0.020127,           0.0044358,           0.0065482,            0.005446,            0.005446,            0.005446
                  48,              0.0223,           0.0076498,            0.009932,             0.95494,             0.97484,             0.98686,             0.85849,            0.013046,           0.0038921,           0.0066005,            0.005347,            0.005347,            0.005347
                  49,             0.02093,           0.0076461,            0.010935,             0.96624,             0.96724,             0.98559,             0.77669,            0.017015,           0.0041293,           0.0064431,            0.005248,            0.005248,            0.005248
                  50,            0.021071,           0.0074951,            0.010634,             0.95265,             0.94557,              0.9834,             0.81586,            0.015561,           0.0041223,           0.0082917,            0.005149,            0.005149,            0.005149
                  51,            0.019746,           0.0074881,           0.0099635,             0.95885,             0.97232,              0.9863,              0.8335,            0.015804,           0.0041644,           0.0083079,             0.00505,             0.00505,             0.00505
                  52,            0.020078,           0.0070622,            0.010237,             0.94792,             0.95535,             0.97855,             0.84618,            0.012891,           0.0039996,           0.0093837,            0.004951,            0.004951,            0.004951
                  53,             0.01966,           0.0071996,            0.010642,             0.96848,             0.95707,             0.98871,             0.85485,            0.013297,           0.0039225,            0.008061,            0.004852,            0.004852,            0.004852
                  54,            0.019331,            0.007511,            0.010265,             0.94564,             0.95083,             0.98853,              0.8331,            0.014947,           0.0040242,           0.0078372,            0.004753,            0.004753,            0.004753
                  55,            0.019061,           0.0076928,           0.0091187,             0.97675,             0.96701,             0.99085,             0.80398,            0.015054,           0.0040644,           0.0052068,            0.004654,            0.004654,            0.004654
                  56,            0.018679,           0.0069117,           0.0092887,              0.9579,             0.95913,             0.98794,             0.83527,            0.014889,           0.0039369,           0.0073722,            0.004555,            0.004555,            0.004555
                  57,            0.019284,           0.0073553,            0.009612,             0.96305,             0.97808,             0.98935,             0.83022,            0.015979,           0.0039647,           0.0053551,            0.004456,            0.004456,            0.004456
                  58,            0.018849,           0.0070382,           0.0093466,             0.96153,             0.97377,             0.99049,             0.85533,            0.013429,           0.0038869,            0.005198,            0.004357,            0.004357,            0.004357
                  59,            0.018089,           0.0069356,           0.0087961,              0.9789,             0.96505,             0.99009,             0.84248,            0.015854,           0.0040354,           0.0052611,            0.004258,            0.004258,            0.004258
                  60,             0.01877,            0.007086,            0.009905,             0.97392,             0.98188,             0.98932,              0.8421,            0.012451,           0.0037692,           0.0052759,            0.004159,            0.004159,            0.004159
                  61,            0.017951,           0.0073856,           0.0094321,             0.95045,             0.97721,             0.98783,             0.86255,            0.014112,           0.0038125,           0.0062261,             0.00406,             0.00406,             0.00406
                  62,            0.018441,           0.0069785,           0.0094677,             0.96445,             0.98143,             0.99159,             0.81763,            0.015148,           0.0039102,           0.0057724,            0.003961,            0.003961,            0.003961
                  63,            0.017582,           0.0068577,           0.0087373,             0.97521,             0.97752,             0.99021,             0.83664,            0.014562,           0.0038063,           0.0049968,            0.003862,            0.003862,            0.003862
                  64,            0.018346,            0.007127,           0.0082069,             0.98424,             0.98515,             0.99068,             0.87842,            0.011673,           0.0037384,           0.0050404,            0.003763,            0.003763,            0.003763
                  65,            0.017242,           0.0068106,           0.0076819,             0.98183,             0.98051,             0.99045,             0.85078,            0.013355,           0.0037627,           0.0055111,            0.003664,            0.003664,            0.003664
                  66,            0.017001,             0.00708,           0.0090148,             0.98087,             0.98048,              0.9914,             0.85414,            0.012307,           0.0036433,           0.0056624,            0.003565,            0.003565,            0.003565
                  67,            0.017021,           0.0070644,           0.0088278,             0.98016,             0.97835,             0.99076,             0.82943,            0.015587,           0.0038282,           0.0048068,            0.003466,            0.003466,            0.003466
                  68,            0.016963,           0.0069771,            0.007561,               0.982,             0.98071,             0.99016,             0.85806,            0.012037,           0.0036077,           0.0045446,            0.003367,            0.003367,            0.003367
                  69,            0.016513,           0.0068632,           0.0078003,             0.96832,             0.98099,             0.98923,             0.88004,            0.011203,           0.0035009,           0.0050047,            0.003268,            0.003268,            0.003268
                  70,            0.016148,           0.0069243,           0.0077051,             0.95497,              0.9843,             0.98988,             0.87281,            0.011797,            0.003651,           0.0053005,            0.003169,            0.003169,            0.003169
