               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020405,           0.0097234,            0.086674,             0.48951,             0.88461,             0.49679,             0.39606,            0.014533,           0.0053093,            0.035887,               0.082,               0.002,               0.002
                   1,            0.020346,           0.0085799,             0.02961,              0.5017,                   1,             0.65439,              0.4965,            0.017679,            0.005071,            0.025134,            0.062829,           0.0038294,           0.0038294
                   2,            0.022746,            0.008895,            0.026942,             0.54396,              0.9281,             0.68077,             0.49528,            0.020061,           0.0049183,            0.023976,            0.043382,           0.0053816,           0.0053816
                   3,            0.025401,           0.0082397,            0.025733,             0.63128,              0.8942,             0.78398,             0.60647,            0.020528,            0.004723,            0.021835,            0.023657,           0.0066566,           0.0066566
                   4,            0.026046,           0.0080057,            0.023159,             0.77058,             0.87659,             0.87447,             0.62735,            0.020178,           0.0045387,            0.019224,             0.00736,             0.00736,             0.00736
                   5,            0.025933,           0.0085631,            0.021377,              0.8346,             0.90095,             0.90938,             0.68745,            0.021968,           0.0045665,            0.016447,             0.00736,             0.00736,             0.00736
                   6,            0.023314,           0.0082065,            0.019016,             0.90035,             0.89889,             0.92126,             0.72274,            0.017613,           0.0044831,            0.015148,              0.0067,              0.0067,              0.0067
                   7,            0.023055,           0.0079268,            0.016189,             0.79704,             0.87485,             0.91565,             0.72078,            0.018969,           0.0044654,            0.021819,             0.00604,             0.00604,             0.00604
                   8,            0.021264,           0.0081341,             0.01496,             0.93613,             0.93151,             0.96908,             0.77135,            0.017626,           0.0043865,            0.010589,             0.00538,             0.00538,             0.00538
                   9,            0.021255,           0.0079889,            0.014627,             0.92722,             0.94244,             0.97839,             0.77889,            0.018722,           0.0043522,           0.0096683,             0.00472,             0.00472,             0.00472
                  10,            0.018331,           0.0072521,            0.012443,             0.93364,             0.93284,             0.97725,             0.83951,            0.014308,           0.0041233,            0.010257,             0.00406,             0.00406,             0.00406
                  11,            0.018124,           0.0072968,            0.013005,             0.95243,             0.95352,             0.98071,             0.82754,            0.014789,           0.0040715,            0.008514,              0.0034,              0.0034,              0.0034
                  12,            0.017507,           0.0075343,             0.01277,             0.92865,             0.94366,             0.98037,             0.84574,             0.01263,           0.0039271,           0.0088561,             0.00274,             0.00274,             0.00274
                  13,            0.015514,           0.0069289,            0.010391,             0.93704,             0.92913,              0.9812,             0.85447,            0.012407,           0.0038931,            0.008821,             0.00208,             0.00208,             0.00208
                  14,            0.014494,           0.0069134,            0.010673,             0.93984,             0.96572,             0.98221,             0.86752,            0.011018,           0.0037372,           0.0070928,             0.00142,             0.00142,             0.00142
