               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11559,            0.016596,            0.077304,           0.0012474,                0.15,          0.00091708,          9.1708e-05,             0.10768,            0.012857,            0.074344,              0.0973,              0.0003,              0.0003
                   1,             0.10517,            0.017595,            0.077848,           0.0020551,                0.25,            0.002371,          0.00033991,            0.088404,            0.014848,            0.071302,            0.093699,          0.00069861,          0.00069861
                   2,            0.092778,            0.024578,            0.072153,             0.01178,             0.40833,            0.013699,           0.0037437,             0.06518,            0.016538,             0.06688,            0.090096,           0.0010956,           0.0010956
                   3,            0.082113,            0.026177,            0.069372,            0.020159,             0.91667,            0.089445,             0.01728,            0.063768,            0.017182,            0.061607,            0.086491,           0.0014911,           0.0014911
                   4,            0.074996,            0.026914,              0.0642,             0.01525,                0.95,             0.19261,             0.04354,             0.06388,            0.017414,            0.057509,            0.082885,            0.001885,            0.001885
                   5,            0.076461,            0.028204,            0.060926,            0.012727,               0.975,             0.23817,            0.043979,            0.060575,            0.017091,            0.052168,            0.079277,           0.0022772,           0.0022772
                   6,            0.067083,            0.024504,             0.05467,            0.012044,             0.98333,             0.36701,             0.10239,            0.053183,            0.016291,            0.046702,            0.075668,           0.0026679,           0.0026679
                   7,            0.068507,            0.030652,            0.050521,            0.011088,                   1,            0.028915,           0.0099554,            0.074137,            0.013717,            0.041718,            0.072057,            0.003057,            0.003057
                   8,            0.067669,            0.024957,            0.047824,             0.28311,             0.54167,             0.31084,            0.078942,            0.050971,            0.014932,            0.039429,            0.068445,           0.0034446,           0.0034446
                   9,            0.065648,            0.022799,            0.045764,             0.16532,             0.41667,              0.1658,             0.05085,            0.058143,            0.012621,            0.037328,            0.064831,           0.0038305,           0.0038305
                  10,            0.068244,            0.023569,            0.042723,            0.077926,             0.50833,            0.086851,            0.023625,             0.06567,            0.011782,            0.035761,            0.061215,           0.0042149,           0.0042149
                  11,            0.067045,            0.027191,            0.041508,              0.0313,             0.96667,            0.034816,             0.01744,            0.081825,            0.011667,            0.035933,            0.057598,           0.0045976,           0.0045976
                  12,            0.074873,            0.018441,            0.037443,            0.027716,                 0.7,            0.035799,            0.011048,            0.077812,            0.011278,            0.034273,            0.053979,           0.0049788,           0.0049788
                  13,             0.06923,            0.020688,            0.036087,             0.35218,                0.85,             0.53655,             0.22579,            0.058967,            0.011367,            0.032765,            0.050358,           0.0053584,           0.0053584
                  14,            0.056582,            0.017493,            0.033516,             0.15443,             0.72141,             0.18688,            0.068131,            0.067017,            0.010835,            0.032042,            0.046736,           0.0057365,           0.0057365
                  15,            0.071646,            0.021035,            0.036222,             0.17209,               0.825,             0.20081,            0.091738,            0.073481,           0.0098612,            0.032136,            0.043113,           0.0061129,           0.0061129
                  16,            0.069143,            0.021634,            0.033705,             0.33165,             0.90265,             0.50449,             0.27683,            0.057664,            0.010839,            0.032276,            0.039488,           0.0064877,           0.0064877
                  17,            0.063945,            0.017688,            0.035196,             0.17046,             0.91667,             0.28205,             0.10788,            0.067262,           0.0099173,            0.031177,            0.035861,            0.006861,            0.006861
                  18,            0.070768,            0.017087,            0.032847,            0.071799,             0.83333,            0.080016,            0.022673,            0.087746,           0.0095453,            0.030758,            0.032233,           0.0072327,           0.0072327
                  19,            0.068851,            0.016826,             0.03296,             0.28611,             0.67729,             0.40606,             0.12051,            0.048463,            0.010748,            0.030463,            0.028603,           0.0076028,           0.0076028
                  20,            0.055365,            0.017929,            0.031712,              0.2458,             0.68808,             0.39182,             0.13261,            0.060292,              0.0104,            0.030214,            0.024971,           0.0079713,           0.0079713
