               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020027,            0.009554,            0.086486,             0.49257,             0.90868,              0.5036,             0.41417,            0.013951,           0.0050625,            0.033668,               0.082,               0.002,               0.002
                   1,            0.020301,           0.0085289,            0.028509,             0.53587,             0.95499,             0.68556,             0.53256,            0.016912,           0.0049273,             0.02519,            0.063092,           0.0040919,           0.0040919
                   2,            0.023294,           0.0083444,             0.02712,             0.56799,             0.95493,             0.77025,             0.57667,            0.018725,           0.0046296,            0.023397,            0.044175,           0.0061754,           0.0061754
                   3,             0.02917,            0.009026,            0.025843,             0.74563,             0.83989,              0.8548,             0.55718,            0.028264,           0.0050041,            0.021031,            0.025251,           0.0082507,           0.0082507
                   4,            0.030968,           0.0090597,            0.023829,             0.75832,             0.89538,             0.90478,             0.61212,            0.024902,           0.0048565,            0.017711,           0.0099208,           0.0099208,           0.0099208
                   5,            0.031818,           0.0087717,            0.019576,             0.89713,             0.89016,             0.90197,             0.60429,            0.031289,            0.005027,            0.014996,           0.0099208,           0.0099208,           0.0099208
                   6,            0.030108,           0.0083172,             0.01647,              0.9101,             0.92794,             0.94473,             0.68549,            0.021538,           0.0048854,            0.011975,            0.009901,            0.009901,            0.009901
                   7,            0.029381,           0.0082379,            0.017137,             0.86026,             0.93143,             0.92443,             0.65029,            0.021677,           0.0047992,            0.011325,           0.0098812,           0.0098812,           0.0098812
                   8,            0.029237,           0.0090505,            0.016306,             0.87853,             0.92443,              0.9583,             0.76532,            0.020296,           0.0049708,            0.013768,           0.0098614,           0.0098614,           0.0098614
                   9,            0.028853,            0.008914,            0.015628,             0.92084,             0.92482,             0.95946,             0.70389,            0.019691,           0.0050681,            0.012103,           0.0098416,           0.0098416,           0.0098416
                  10,            0.028758,           0.0082836,            0.014072,             0.90785,               0.847,             0.93365,             0.61398,            0.030508,           0.0053248,            0.013246,           0.0098218,           0.0098218,           0.0098218
