               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096424,            0.020918,            0.068878,            0.011371,              0.9362,            0.014834,           0.0040277,            0.060919,            0.017445,             0.05173,               0.082,               0.002,               0.002
                   1,            0.070942,            0.023853,            0.045877,            0.040743,             0.86116,            0.041547,            0.012919,             0.07888,            0.010913,            0.041302,            0.063093,           0.0040926,           0.0040926
                   2,             0.06818,            0.020303,            0.035881,             0.41794,              0.6743,             0.42644,              0.2108,            0.076575,            0.013057,            0.035188,            0.044178,           0.0061777,           0.0061777
                   3,            0.068785,            0.016914,             0.03354,             0.15942,             0.64998,             0.20896,            0.057525,            0.067311,            0.010653,            0.031468,            0.025255,           0.0082552,           0.0082552
                   4,            0.066404,            0.016084,            0.033399,             0.24792,             0.49344,             0.29138,             0.15424,            0.061559,           0.0096742,            0.031087,            0.009928,            0.009928,            0.009928
                   5,            0.064744,            0.016519,            0.032207,             0.24986,             0.56863,             0.29595,            0.090177,            0.054378,           0.0088459,            0.030964,            0.009928,            0.009928,            0.009928
                   6,            0.058168,            0.015169,            0.031699,             0.39758,             0.86984,             0.50883,             0.26826,            0.046551,           0.0082578,            0.030077,             0.00991,             0.00991,             0.00991
                   7,            0.055747,              0.0143,            0.030973,             0.32569,             0.72631,             0.41455,             0.22293,             0.05264,           0.0073166,             0.02905,            0.009892,            0.009892,            0.009892
                   8,             0.05057,            0.013719,            0.031102,             0.36192,             0.84708,             0.44983,              0.2153,            0.052662,            0.006997,             0.02844,            0.009874,            0.009874,            0.009874
                   9,             0.04803,            0.012757,            0.030287,             0.55081,             0.86357,             0.68901,              0.3539,            0.044447,           0.0073108,            0.028007,            0.009856,            0.009856,            0.009856
                  10,            0.042931,            0.011589,            0.029648,             0.52053,             0.90563,             0.68499,             0.37526,            0.036611,           0.0063684,             0.02716,            0.009838,            0.009838,            0.009838
                  11,             0.04234,            0.011261,            0.029128,             0.48453,               0.836,             0.70445,             0.26495,            0.038255,            0.006422,            0.025468,             0.00982,             0.00982,             0.00982
                  12,            0.043648,            0.011121,            0.027941,             0.57152,             0.86319,              0.7464,             0.40953,            0.034533,           0.0058126,            0.025989,            0.009802,            0.009802,            0.009802
                  13,            0.039676,            0.010433,            0.026449,             0.65432,             0.84533,             0.74341,             0.40463,            0.036706,           0.0061412,            0.022725,            0.009784,            0.009784,            0.009784
                  14,            0.037501,             0.01067,            0.024443,             0.74853,             0.86025,              0.8745,             0.49334,            0.034648,            0.005849,            0.018728,            0.009766,            0.009766,            0.009766
                  15,            0.039002,            0.010166,            0.022088,             0.77653,             0.81728,             0.89094,              0.5765,            0.027888,           0.0055743,            0.017823,            0.009748,            0.009748,            0.009748
                  16,            0.036714,           0.0099877,            0.021741,              0.8695,             0.86959,             0.93429,             0.66271,            0.029807,           0.0053471,            0.016086,             0.00973,             0.00973,             0.00973
                  17,             0.03588,           0.0098343,            0.019604,             0.72038,             0.89503,             0.87231,             0.61026,            0.028346,           0.0053038,            0.013876,            0.009712,            0.009712,            0.009712
                  18,            0.036534,           0.0097345,              0.0171,             0.81699,             0.91904,             0.95599,             0.48355,            0.038581,           0.0054501,            0.013114,            0.009694,            0.009694,            0.009694
                  19,            0.034954,            0.010041,            0.016102,             0.89537,             0.91079,             0.96271,             0.59205,            0.030137,           0.0050959,            0.011834,            0.009676,            0.009676,            0.009676
