               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096687,            0.020868,            0.069153,            0.011047,             0.94601,            0.022219,           0.0061986,             0.05977,            0.018496,            0.052131,               0.082,               0.002,               0.002
                   1,            0.071224,              0.0235,            0.046333,             0.22986,             0.88034,             0.27708,            0.094629,             0.05737,            0.012534,            0.041402,            0.062938,           0.0039376,           0.0039376
                   2,            0.065975,            0.019896,            0.036191,             0.17192,             0.25495,             0.15704,            0.036536,            0.073612,            0.011604,             0.03441,            0.043709,            0.005709,            0.005709
                   3,            0.065486,            0.017896,            0.033651,             0.10554,             0.60127,             0.11609,            0.027254,            0.068555,            0.010615,            0.031449,            0.024314,            0.007314,            0.007314
                   4,            0.064319,            0.016534,            0.032603,              0.2371,             0.64524,             0.25895,             0.11149,            0.059098,            0.010212,            0.031193,            0.008416,            0.008416,            0.008416
                   5,            0.064881,            0.015624,             0.03237,             0.20448,             0.77934,             0.25258,            0.079909,            0.051705,           0.0092294,            0.030161,            0.008416,            0.008416,            0.008416
                   6,            0.053643,            0.014793,            0.031558,             0.40953,             0.73787,             0.48267,             0.12469,            0.058025,           0.0089072,            0.030431,             0.00802,             0.00802,             0.00802
                   7,            0.051026,            0.013977,            0.031064,             0.37452,             0.80631,             0.52687,             0.33644,            0.041712,           0.0076038,            0.029569,            0.007624,            0.007624,            0.007624
                   8,             0.04405,            0.014177,            0.030464,             0.39756,             0.83525,             0.51014,             0.25908,            0.047795,            0.007254,            0.029157,            0.007228,            0.007228,            0.007228
                   9,            0.041866,            0.013045,            0.030344,             0.47024,             0.96226,              0.5998,             0.36811,            0.030464,           0.0068431,            0.028528,            0.006832,            0.006832,            0.006832
                  10,            0.040313,            0.011766,            0.030093,             0.40692,             0.87267,             0.52831,             0.32633,            0.037442,           0.0065987,            0.028243,            0.006436,            0.006436,            0.006436
                  11,            0.037505,            0.011419,            0.029521,             0.48624,             0.95814,             0.59983,             0.42935,            0.027875,           0.0063096,            0.028308,             0.00604,             0.00604,             0.00604
                  12,            0.033553,            0.011443,            0.029866,             0.51274,             0.97799,             0.64767,             0.42719,            0.025874,           0.0060968,            0.027712,            0.005644,            0.005644,            0.005644
                  13,            0.031639,            0.010352,            0.029163,             0.52191,             0.99316,             0.65009,             0.40673,            0.025905,           0.0059465,            0.027378,            0.005248,            0.005248,            0.005248
                  14,             0.03121,            0.010624,             0.02884,             0.53282,             0.97575,             0.70678,             0.45599,            0.026744,           0.0058711,            0.026925,            0.004852,            0.004852,            0.004852
                  15,            0.027654,           0.0097721,            0.028377,               0.514,             0.96643,             0.71859,             0.49067,            0.021196,            0.005556,            0.026488,            0.004456,            0.004456,            0.004456
                  16,            0.026639,           0.0097278,            0.028357,             0.53431,             0.96923,             0.74382,             0.55587,            0.019938,           0.0054128,            0.025901,             0.00406,             0.00406,             0.00406
                  17,            0.024764,           0.0093211,            0.027923,             0.55885,             0.98113,             0.77262,             0.59039,            0.018783,           0.0051858,            0.025373,            0.003664,            0.003664,            0.003664
                  18,            0.023303,           0.0090807,            0.027361,             0.60675,             0.92831,             0.80778,             0.66221,            0.016008,           0.0050458,            0.024727,            0.003268,            0.003268,            0.003268
                  19,            0.022064,           0.0089764,            0.026799,             0.61717,             0.94404,             0.82643,             0.65363,            0.017229,           0.0049706,            0.024053,            0.002872,            0.002872,            0.002872
                  20,            0.020899,           0.0089796,            0.026927,             0.65568,             0.90694,             0.84717,             0.67964,            0.014981,           0.0048076,             0.02362,            0.002476,            0.002476,            0.002476
