               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096424,            0.020918,            0.068878,            0.011371,              0.9362,            0.014834,           0.0040277,            0.060919,            0.017445,             0.05173,               0.082,               0.002,               0.002
                   1,            0.070432,            0.024109,            0.046181,            0.070867,             0.93156,            0.073496,            0.027939,            0.068146,            0.011622,            0.040648,            0.062846,           0.0038463,           0.0038463
                   2,             0.06553,            0.021156,            0.036273,            0.097313,             0.67978,             0.10511,            0.045016,            0.071368,            0.012644,            0.036308,            0.043433,           0.0054327,           0.0054327
                   3,            0.066816,            0.017075,             0.03369,             0.23106,             0.69518,             0.27087,            0.077088,             0.06364,           0.0099989,            0.031577,            0.023759,           0.0067593,           0.0067593
                   4,            0.064155,            0.016155,            0.033211,             0.29245,             0.70088,             0.36339,             0.16375,             0.05682,           0.0099932,            0.031147,            0.007525,            0.007525,            0.007525
                   5,            0.062213,            0.016413,             0.03198,              0.1468,             0.60372,              0.1485,            0.075314,            0.057489,           0.0089545,            0.030782,            0.007525,            0.007525,            0.007525
                   6,            0.055343,            0.015475,            0.031874,             0.43237,             0.66811,               0.501,             0.25461,            0.044358,           0.0085557,            0.029934,           0.0069063,           0.0069063,           0.0069063
                   7,             0.04538,            0.015262,            0.030957,             0.23831,             0.67576,             0.28742,            0.085147,            0.052444,           0.0077797,            0.029204,           0.0062875,           0.0062875,           0.0062875
                   8,            0.043566,            0.014184,            0.030762,             0.50968,             0.98241,             0.59538,             0.39403,            0.027297,           0.0072507,            0.028715,           0.0056688,           0.0056688,           0.0056688
                   9,            0.037129,            0.013328,            0.030111,             0.50439,             0.98303,             0.61731,              0.3022,            0.038225,           0.0070719,            0.028399,             0.00505,             0.00505,             0.00505
                  10,            0.035209,            0.012053,            0.029865,              0.4997,             0.94213,             0.60514,               0.405,            0.032157,           0.0065716,            0.028206,           0.0044313,           0.0044313,           0.0044313
                  11,            0.031395,            0.011779,            0.029836,             0.50709,             0.99057,             0.61487,             0.37661,            0.032454,           0.0063439,            0.027841,           0.0038125,           0.0038125,           0.0038125
                  12,            0.031912,            0.011507,            0.029473,              0.4998,             0.99836,             0.60419,             0.46176,            0.020922,           0.0058951,            0.027581,           0.0031938,           0.0031938,           0.0031938
                  13,            0.025622,             0.01076,            0.029229,             0.51687,              0.9884,             0.60926,             0.49848,            0.017068,           0.0056011,            0.027362,            0.002575,            0.002575,            0.002575
                  14,            0.023574,            0.010595,            0.029139,             0.52045,             0.98428,             0.61536,             0.48675,            0.018205,           0.0054264,            0.027218,           0.0019563,           0.0019563,           0.0019563
                  15,            0.021848,            0.010158,            0.028888,             0.50831,             0.99686,             0.63024,             0.52268,             0.01693,           0.0052475,            0.027009,           0.0013375,           0.0013375,           0.0013375
