               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096687,            0.020868,            0.069153,            0.011047,             0.94601,            0.022219,           0.0061986,             0.05977,            0.018496,            0.052131,               0.082,               0.002,               0.002
                   1,            0.070972,            0.023668,            0.046613,             0.15138,             0.82438,             0.16313,            0.053376,            0.059953,            0.012409,            0.041432,            0.062694,           0.0036941,           0.0036941
                   2,            0.065762,            0.020145,            0.036477,             0.49403,              0.9507,              0.5133,             0.16982,            0.048174,            0.012644,            0.035828,            0.042972,           0.0049724,           0.0049724
                   3,            0.061508,            0.018488,            0.033959,             0.31802,             0.50416,             0.35899,             0.11093,            0.057167,            0.010866,            0.031865,            0.022835,           0.0058349,           0.0058349
                   4,            0.058623,            0.017101,            0.032714,             0.34239,             0.72412,              0.4253,              0.1905,            0.050962,            0.010497,            0.031324,             0.00604,             0.00604,             0.00604
                   5,            0.057548,            0.015992,            0.032339,               0.378,              0.5523,             0.41591,             0.22964,            0.052189,           0.0094787,            0.030386,             0.00604,             0.00604,             0.00604
                   6,            0.047407,            0.015087,              0.0315,             0.47759,             0.85631,             0.55705,             0.29882,            0.035526,           0.0092758,            0.029891,             0.00505,             0.00505,             0.00505
                   7,            0.040444,            0.014389,            0.030882,                0.36,             0.83147,             0.49604,             0.26029,            0.039194,           0.0082533,            0.029534,             0.00406,             0.00406,             0.00406
                   8,            0.037965,             0.01451,            0.030215,             0.48825,             0.97516,             0.59602,             0.40786,              0.0297,           0.0078189,            0.029049,             0.00307,             0.00307,             0.00307
                   9,              0.0309,            0.013699,            0.030134,             0.51378,             0.99686,             0.60646,             0.44008,            0.021092,           0.0075254,            0.028896,             0.00208,             0.00208,             0.00208
