               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096897,            0.021941,            0.068441,            0.010947,             0.95198,            0.021237,           0.0054647,            0.058807,            0.017736,            0.052573,               0.082,               0.002,               0.002
                   1,             0.07167,            0.025195,            0.045815,            0.089991,             0.78931,            0.092284,            0.038163,            0.061084,            0.012389,            0.040612,            0.062829,           0.0038294,           0.0038294
                   2,            0.064351,            0.019307,            0.035873,            0.079174,             0.82246,            0.080639,            0.021556,            0.083544,            0.012812,            0.036065,            0.043382,           0.0053816,           0.0053816
                   3,            0.066105,             0.01717,            0.033922,             0.25672,             0.62813,             0.30526,            0.099086,            0.062465,            0.010594,            0.031711,            0.023657,           0.0066566,           0.0066566
                   4,            0.065004,            0.016231,            0.033266,             0.36554,             0.48092,             0.37518,             0.14975,            0.049688,            0.009953,            0.031003,             0.00736,             0.00736,             0.00736
                   5,            0.060334,            0.016021,            0.032165,             0.36343,             0.50704,             0.39794,             0.13159,            0.045304,           0.0093029,            0.030568,             0.00736,             0.00736,             0.00736
                   6,            0.054089,            0.015754,            0.031467,             0.47986,             0.88402,             0.55286,             0.31266,            0.033885,           0.0086134,            0.030211,              0.0067,              0.0067,              0.0067
                   7,            0.046221,            0.014826,            0.031084,             0.44914,             0.76472,              0.5134,             0.31693,            0.043257,           0.0076658,            0.029325,             0.00604,             0.00604,             0.00604
                   8,            0.041494,             0.01412,            0.030652,             0.46588,             0.73352,             0.50764,             0.31323,            0.035223,           0.0073241,            0.028906,             0.00538,             0.00538,             0.00538
                   9,            0.037361,            0.013075,            0.029954,             0.46104,             0.94654,             0.56239,             0.36604,            0.027776,           0.0067956,            0.028531,             0.00472,             0.00472,             0.00472
                  10,            0.032454,            0.013185,            0.029607,             0.37095,             0.77492,             0.50779,             0.33739,            0.028194,           0.0066313,            0.028011,             0.00406,             0.00406,             0.00406
                  11,            0.032432,            0.011956,            0.029585,             0.49954,             0.99686,             0.62766,             0.44943,             0.02272,            0.006196,            0.027642,              0.0034,              0.0034,              0.0034
                  12,             0.02769,            0.011186,            0.029308,             0.50071,                   1,             0.63671,             0.45842,            0.023578,           0.0060699,             0.02731,             0.00274,             0.00274,             0.00274
                  13,            0.025704,            0.011027,            0.029223,             0.51005,             0.99057,             0.62137,             0.50784,            0.015794,           0.0057093,            0.027147,             0.00208,             0.00208,             0.00208
                  14,            0.022855,            0.010592,            0.028521,             0.51837,             0.98146,             0.64895,             0.53839,            0.016551,           0.0055936,            0.026859,             0.00142,             0.00142,             0.00142
