               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10954,            0.016494,            0.073991,            0.010314,                0.35,            0.016188,           0.0030422,            0.091368,            0.011254,            0.078708,              0.0973,              0.0003,              0.0003
                   1,             0.10564,            0.016934,            0.075394,            0.011142,                 0.4,            0.020225,           0.0039198,            0.080487,            0.013003,            0.072749,            0.093677,           0.0006769,           0.0006769
                   2,            0.096016,            0.023576,            0.072125,            0.012092,             0.49167,            0.032075,           0.0060402,             0.06924,            0.015332,            0.065913,            0.090027,           0.0010274,           0.0010274
                   3,             0.08763,            0.024136,            0.068406,            0.011589,             0.50833,            0.030874,           0.0070929,            0.064206,            0.016391,            0.059811,            0.086351,           0.0013515,           0.0013515
                   4,             0.07854,            0.025849,            0.063247,            0.011386,               0.525,            0.031862,           0.0076005,            0.061572,              0.0169,            0.056231,            0.082649,           0.0016492,           0.0016492
                   5,            0.078923,            0.027825,            0.059489,            0.013227,               0.825,            0.035237,            0.010374,            0.058313,            0.017137,            0.051744,            0.078921,           0.0019205,           0.0019205
                   6,            0.070114,            0.024619,            0.055266,            0.013736,                   1,            0.068187,            0.025475,            0.060158,            0.016557,              0.0471,            0.075165,           0.0021654,           0.0021654
                   7,            0.071068,            0.030614,            0.049656,            0.011882,                   1,             0.15437,            0.064195,            0.060658,            0.015553,             0.04237,            0.071384,           0.0023839,           0.0023839
                   8,             0.06837,             0.02458,            0.046376,            0.088559,               0.675,             0.17073,             0.05052,            0.057114,            0.014566,            0.040392,            0.067576,            0.002576,            0.002576
                   9,            0.065631,            0.022625,            0.043765,              0.1371,             0.49167,             0.23355,            0.064268,            0.059296,            0.012934,            0.038566,            0.063742,           0.0027417,           0.0027417
                  10,            0.064345,            0.024357,             0.04154,             0.13784,               0.375,             0.19041,            0.052663,            0.059077,            0.011753,            0.037172,            0.059881,            0.002881,            0.002881
                  11,            0.063309,            0.026801,            0.040757,             0.10209,             0.54167,             0.15078,            0.048331,            0.057651,            0.010597,            0.036637,            0.055994,           0.0029939,           0.0029939
                  12,            0.061007,            0.019754,            0.036317,            0.090733,             0.87577,              0.1191,            0.054998,            0.052417,            0.010756,            0.036141,             0.05208,           0.0030804,           0.0030804
                  13,            0.060333,             0.02096,            0.036407,             0.21794,             0.81808,             0.37557,             0.11714,            0.053789,            0.010794,            0.035223,            0.048141,           0.0031405,           0.0031405
                  14,            0.052253,            0.016978,            0.033172,             0.13575,             0.64167,             0.24226,            0.059895,            0.056252,            0.010886,            0.034808,            0.044174,           0.0031742,           0.0031742
                  15,            0.059109,            0.021751,            0.036739,             0.18795,                 0.7,             0.38923,             0.19348,            0.055241,            0.010946,            0.034315,            0.040182,           0.0031815,           0.0031815
                  16,            0.056605,            0.022784,            0.033417,             0.19651,                 0.7,             0.40106,             0.21051,            0.054989,            0.010786,            0.033929,            0.036162,           0.0031624,           0.0031624
                  17,             0.05724,            0.017171,            0.036356,             0.23027,             0.78649,             0.42975,              0.1261,            0.056025,            0.011363,            0.034338,            0.032117,           0.0031169,           0.0031169
                  18,            0.057018,            0.018168,             0.03245,             0.42935,             0.83062,             0.55564,             0.23406,              0.0426,            0.011293,            0.033689,            0.028045,            0.003045,            0.003045
                  19,            0.054205,             0.01684,            0.033069,             0.36163,             0.69167,             0.54221,             0.27369,            0.053412,            0.011255,             0.03306,            0.023947,           0.0029467,           0.0029467
                  20,            0.054583,            0.017159,            0.032191,             0.47999,             0.83109,             0.57411,             0.36095,            0.045751,            0.010953,            0.032675,            0.019822,            0.002822,            0.002822
                  21,            0.055072,            0.020047,            0.033787,             0.46699,             0.93333,             0.57379,             0.25334,            0.044333,            0.010949,            0.032477,            0.015671,           0.0026709,           0.0026709
                  22,            0.049754,            0.017165,            0.033163,               0.336,             0.74167,             0.52554,             0.31724,            0.040785,            0.010734,            0.031877,            0.011493,           0.0024934,           0.0024934
                  23,             0.04708,            0.020182,            0.033061,             0.47822,                0.95,             0.58985,             0.32695,            0.036536,            0.010438,            0.031605,           0.0072895,           0.0022895,           0.0022895
                  24,            0.046558,            0.017967,            0.031031,             0.35555,             0.78333,             0.53415,             0.33191,            0.038718,            0.010387,            0.031053,           0.0030592,           0.0020592,           0.0020592
                  25,            0.046046,             0.01553,            0.032987,             0.47158,             0.96867,             0.60337,             0.37753,            0.035376,            0.010172,            0.030544,             0.00175,             0.00175,             0.00175
                  26,            0.043665,            0.017952,            0.032767,              0.4463,             0.84849,             0.61118,             0.42314,            0.034937,            0.010008,            0.029837,             0.00175,             0.00175,             0.00175
                  27,            0.044871,            0.016431,            0.031524,             0.47757,             0.99208,             0.61697,             0.37251,            0.032327,           0.0098726,            0.029578,             0.00142,             0.00142,             0.00142
                  28,            0.037489,            0.016225,            0.029452,             0.46687,               0.975,             0.60813,             0.42274,            0.030664,           0.0097593,            0.029182,             0.00109,             0.00109,             0.00109
                  29,            0.039679,            0.019427,            0.029521,             0.46638,               0.975,             0.61593,             0.43451,            0.028807,           0.0096306,            0.029062,             0.00076,             0.00076,             0.00076
