               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11631,            0.016958,            0.076084,          0.00042159,               0.025,          0.00022151,          2.2151e-05,             0.11717,            0.011179,            0.077437,              0.0973,              0.0003,              0.0003
                   1,             0.10979,             0.01796,              0.0738,                   0,                   0,                   0,                   0,             0.10344,            0.013507,            0.073916,            0.093699,          0.00069861,          0.00069861
                   2,            0.093009,            0.025466,            0.071659,            0.015924,                0.25,            0.015579,           0.0030251,            0.072277,            0.015503,            0.067184,            0.090096,           0.0010956,           0.0010956
                   3,            0.079131,            0.028007,            0.067892,            0.023333,             0.81667,            0.087765,            0.024601,             0.05792,            0.017683,            0.059357,            0.086491,           0.0014911,           0.0014911
                   4,            0.070755,            0.028599,             0.06122,            0.019633,                   1,            0.078325,            0.024913,            0.060131,            0.017881,            0.052353,            0.082885,            0.001885,            0.001885
                   5,            0.071169,            0.029884,            0.056907,            0.014596,                   1,             0.35747,             0.12788,            0.054261,            0.016553,            0.044219,            0.079277,           0.0022772,           0.0022772
                   6,            0.067597,            0.024171,            0.049599,            0.012527,                   1,             0.31674,              0.1055,            0.058762,            0.015258,            0.038261,            0.075668,           0.0026679,           0.0026679
                   7,            0.066981,            0.029703,            0.044747,              0.1331,                0.85,             0.27577,            0.079296,            0.062821,            0.012338,            0.035774,            0.072057,            0.003057,            0.003057
                   8,            0.069083,            0.023221,            0.042309,             0.23544,             0.54167,             0.34821,            0.091462,            0.068773,            0.011843,            0.034831,            0.068445,           0.0034446,           0.0034446
                   9,            0.067575,            0.020946,             0.04222,             0.21335,             0.60833,               0.225,            0.044189,            0.065919,            0.010868,            0.035992,            0.064831,           0.0038305,           0.0038305
                  10,             0.06898,            0.021773,            0.039771,             0.20247,             0.70833,             0.27664,            0.051374,            0.066567,            0.010642,            0.035145,            0.061215,           0.0042149,           0.0042149
