               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088495,            0.030236,            0.068949,            0.012635,             0.98305,            0.059392,            0.018336,            0.036112,            0.027218,            0.037819,               0.082,               0.002,               0.002
                   1,            0.063656,            0.029421,            0.049904,             0.23221,             0.88343,             0.25238,            0.096942,            0.046361,            0.018125,            0.024955,            0.062829,           0.0038294,           0.0038294
                   2,            0.062562,            0.023106,             0.03569,             0.11678,             0.54642,             0.16223,             0.04549,            0.054353,            0.014265,            0.022011,            0.043382,           0.0053816,           0.0053816
                   3,            0.064977,            0.018785,            0.032432,             0.39016,              0.8441,             0.47544,             0.18919,             0.03444,            0.013751,            0.021061,            0.023657,           0.0066566,           0.0066566
                   4,            0.058174,            0.017547,            0.031443,             0.25347,              0.7033,             0.31175,            0.064146,            0.046291,            0.011255,             0.02103,             0.00736,             0.00736,             0.00736
                   5,            0.058681,            0.016477,            0.031323,             0.32689,             0.88807,              0.4349,             0.19289,            0.044475,           0.0095711,            0.020815,             0.00736,             0.00736,             0.00736
                   6,            0.051505,            0.015747,             0.03182,             0.39038,             0.87622,             0.50656,              0.1291,            0.034736,           0.0099884,            0.020304,              0.0067,              0.0067,              0.0067
                   7,            0.046022,            0.014466,            0.031017,             0.50439,             0.99238,             0.60375,             0.42527,            0.019076,           0.0083645,            0.019846,             0.00604,             0.00604,             0.00604
                   8,            0.038476,            0.013735,            0.029931,             0.44667,             0.97015,             0.58634,             0.22258,            0.029942,           0.0078244,            0.019643,             0.00538,             0.00538,             0.00538
                   9,            0.037663,             0.01269,            0.030309,             0.49251,             0.99121,             0.60121,             0.38289,            0.017707,           0.0072616,            0.019616,             0.00472,             0.00472,             0.00472
                  10,            0.031047,            0.011571,            0.028054,             0.48908,             0.98537,             0.62126,             0.42047,            0.016032,           0.0066639,             0.01947,             0.00406,             0.00406,             0.00406
                  11,             0.03027,            0.011211,            0.029477,             0.51287,             0.99702,             0.63686,             0.35894,            0.021715,           0.0068394,            0.019374,              0.0034,              0.0034,              0.0034
                  12,            0.028861,            0.011436,            0.028274,             0.51021,             0.99403,             0.63244,             0.44077,            0.013444,           0.0063034,            0.019231,             0.00274,             0.00274,             0.00274
                  13,            0.023933,            0.010282,            0.028859,             0.50465,             0.99619,             0.67921,             0.52224,            0.012011,           0.0060611,            0.019129,             0.00208,             0.00208,             0.00208
                  14,            0.023406,            0.010513,            0.028808,             0.50188,             0.99403,             0.67556,              0.5464,            0.010243,           0.0057828,            0.019057,             0.00142,             0.00142,             0.00142
