               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11087,            0.016506,            0.078769,            0.004008,                 0.2,           0.0038813,          0.00057411,            0.090845,            0.011572,            0.075537,              0.0973,              0.0003,              0.0003
                   1,             0.10423,            0.017153,            0.075137,           0.0043817,               0.225,            0.004465,          0.00063379,            0.079553,            0.013385,            0.072483,            0.093699,          0.00069861,          0.00069861
                   2,            0.096272,            0.023454,            0.071839,           0.0041551,               0.225,           0.0041232,          0.00067727,            0.069913,            0.015526,            0.067619,            0.090096,           0.0010956,           0.0010956
                   3,            0.088359,            0.024385,            0.068837,           0.0046661,             0.26667,            0.004138,           0.0010215,            0.066825,            0.016176,            0.061037,            0.086491,           0.0014911,           0.0014911
                   4,             0.07864,            0.026432,            0.062062,           0.0094181,             0.53333,           0.0082737,           0.0017853,            0.065963,            0.016612,            0.055706,            0.082885,            0.001885,            0.001885
                   5,            0.080173,            0.027508,            0.058872,             0.01304,               0.925,            0.018248,           0.0057198,            0.060253,            0.016909,             0.05033,            0.079277,           0.0022772,           0.0022772
                   6,            0.071004,            0.024231,            0.055199,             0.01058,                   1,            0.061878,            0.018827,            0.058416,            0.015955,            0.045497,            0.075668,           0.0026679,           0.0026679
                   7,            0.072349,            0.029808,            0.049557,           0.0093134,                   1,               0.117,             0.02916,            0.063779,            0.014055,            0.039365,            0.072057,            0.003057,            0.003057
                   8,            0.069777,            0.024133,            0.045584,             0.19834,             0.96667,              0.3806,             0.11431,            0.060159,            0.014108,            0.037992,            0.068445,           0.0034446,           0.0034446
                   9,            0.067863,            0.022335,            0.044572,            0.045657,             0.98333,            0.054544,            0.022769,            0.069037,            0.011586,             0.03547,            0.064831,           0.0038305,           0.0038305
                  10,            0.070038,            0.022651,            0.040634,             0.09881,                0.45,             0.14722,            0.062886,            0.065761,             0.01044,            0.033531,            0.061215,           0.0042149,           0.0042149
                  11,            0.069663,            0.024722,            0.039508,             0.30932,             0.62339,             0.40343,             0.17448,            0.066458,            0.010847,            0.033164,            0.057598,           0.0045976,           0.0045976
                  12,            0.069024,            0.018415,            0.036368,             0.20378,               0.525,             0.26617,            0.059249,            0.062275,             0.01215,            0.032955,            0.053979,           0.0049788,           0.0049788
                  13,            0.064763,             0.02008,            0.034751,             0.41321,             0.84167,             0.56151,             0.13963,            0.070548,            0.012103,            0.032563,            0.050358,           0.0053584,           0.0053584
                  14,            0.065428,             0.01563,            0.032451,             0.40654,             0.73333,             0.50796,             0.12336,             0.07258,            0.011096,            0.032723,            0.046736,           0.0057365,           0.0057365
                  15,            0.070108,            0.019896,             0.03439,             0.20226,               0.434,             0.21367,            0.058255,            0.086434,            0.011553,            0.032629,            0.043113,           0.0061129,           0.0061129
                  16,            0.069903,            0.020817,            0.032405,             0.36371,             0.80685,             0.45229,            0.083344,            0.061803,            0.011733,            0.031815,            0.039488,           0.0064877,           0.0064877
                  17,             0.06642,            0.016111,            0.034163,             0.19231,             0.46667,             0.19161,            0.030776,            0.076879,            0.011233,            0.029899,            0.035861,            0.006861,            0.006861
                  18,            0.071032,            0.016426,            0.031329,             0.18569,               0.625,             0.33955,             0.14339,            0.064676,            0.011086,            0.029103,            0.032233,           0.0072327,           0.0072327
                  19,            0.067081,             0.01629,             0.03172,             0.26834,             0.51667,             0.37816,             0.09521,            0.063961,            0.010611,            0.028874,            0.028603,           0.0076028,           0.0076028
                  20,            0.063764,             0.01668,            0.031299,            0.080158,               0.825,            0.093305,            0.052332,            0.070563,            0.010365,             0.02866,            0.024971,           0.0079713,           0.0079713
                  21,            0.076328,            0.017401,            0.033083,             0.15786,             0.90833,             0.22696,            0.070557,            0.058973,            0.010546,            0.028527,            0.021338,           0.0083383,           0.0083383
                  22,             0.06882,            0.016531,            0.031793,             0.20304,               0.525,             0.23105,             0.04929,            0.083675,           0.0093638,            0.028826,            0.017704,           0.0087036,           0.0087036
                  23,            0.076607,            0.017382,            0.033374,             0.20245,              0.7299,             0.24388,            0.066318,            0.067278,            0.010081,            0.028858,            0.014067,           0.0090674,           0.0090674
                  24,             0.07083,            0.016477,            0.032117,             0.18992,               0.575,             0.25015,            0.072507,            0.062778,           0.0097346,            0.028369,             0.01043,           0.0094296,           0.0094296
                  25,            0.060521,            0.015855,            0.032635,             0.16435,             0.64167,             0.21889,             0.11176,            0.072116,           0.0092872,            0.027989,            0.009505,            0.009505,            0.009505
                  26,            0.073603,            0.016355,             0.03216,             0.29231,             0.81136,             0.37474,             0.17799,            0.054961,           0.0098556,            0.027616,            0.009505,            0.009505,            0.009505
                  27,            0.056574,             0.01713,            0.030796,             0.19669,             0.47533,             0.22343,            0.067171,            0.074799,           0.0097933,            0.027182,           0.0094852,           0.0094852,           0.0094852
                  28,            0.073233,            0.013652,            0.028578,             0.35596,                0.55,             0.48419,             0.17763,            0.059449,           0.0096016,            0.027526,           0.0094654,           0.0094654,           0.0094654
                  29,            0.055042,            0.018822,            0.030146,             0.17874,             0.69043,             0.31228,             0.11202,            0.066832,            0.010119,            0.027166,           0.0094456,           0.0094456,           0.0094456
                  30,               0.071,            0.016878,            0.029326,             0.34295,             0.55833,             0.46488,              0.1188,            0.060837,           0.0094148,             0.02677,           0.0094258,           0.0094258,           0.0094258
                  31,            0.062204,            0.015907,            0.028688,             0.47022,             0.69167,              0.5939,             0.26052,            0.056703,           0.0094714,            0.026512,            0.009406,            0.009406,            0.009406
                  32,            0.057911,            0.016178,            0.032043,             0.24928,             0.65833,             0.33519,             0.11194,            0.062778,           0.0088797,            0.026509,           0.0093862,           0.0093862,           0.0093862
                  33,             0.06022,            0.016703,            0.031001,             0.33483,             0.75833,             0.40032,             0.14004,            0.063157,           0.0086718,            0.026279,           0.0093664,           0.0093664,           0.0093664
                  34,            0.066372,            0.015437,            0.031774,             0.55876,             0.65833,              0.6709,             0.21809,            0.054572,           0.0082524,            0.026389,           0.0093466,           0.0093466,           0.0093466
                  35,            0.059768,            0.018105,            0.030184,             0.29691,             0.68333,             0.42075,             0.13009,            0.057827,           0.0082171,            0.026323,           0.0093268,           0.0093268,           0.0093268
                  36,            0.056455,            0.016113,            0.029921,             0.50932,             0.83333,             0.64847,             0.22464,            0.044352,           0.0082481,            0.026267,            0.009307,            0.009307,            0.009307
                  37,            0.049269,            0.019213,            0.030279,             0.32891,             0.63333,             0.48342,             0.17729,            0.067719,           0.0082268,            0.026383,           0.0092872,           0.0092872,           0.0092872
