               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10985,            0.015412,             0.07618,           0.0045965,             0.20455,           0.0041711,          0.00073067,             0.10101,            0.012358,            0.075877,              0.0973,              0.0003,              0.0003
                   1,              0.1074,            0.019663,            0.074966,           0.0066327,             0.29545,           0.0060179,           0.0010614,            0.091793,            0.013979,            0.073365,            0.093699,          0.00069861,          0.00069861
                   2,            0.099553,            0.023287,            0.072391,           0.0081684,             0.33333,           0.0066794,           0.0011533,            0.082309,            0.016023,            0.070058,            0.090096,           0.0010956,           0.0010956
                   3,            0.089659,            0.026208,            0.067423,           0.0077214,             0.32727,           0.0066194,           0.0014219,            0.078967,            0.016844,            0.065114,            0.086491,           0.0014911,           0.0014911
                   4,            0.086055,            0.024991,            0.062079,            0.014756,             0.71364,            0.013806,           0.0031194,            0.073268,            0.017531,            0.060922,            0.082885,            0.001885,            0.001885
                   5,            0.078647,            0.028651,            0.059586,            0.016272,             0.90909,            0.024071,           0.0065936,            0.070217,            0.017845,            0.056953,            0.079277,           0.0022772,           0.0022772
                   6,             0.07159,            0.026596,            0.054486,            0.014146,             0.95455,            0.059538,            0.021126,            0.067323,            0.017714,            0.052562,            0.075668,           0.0026679,           0.0026679
                   7,            0.064832,            0.027598,            0.050881,            0.011894,             0.95455,             0.18938,            0.066098,            0.066267,            0.016459,            0.047212,            0.072057,            0.003057,            0.003057
                   8,            0.068944,            0.024386,            0.043149,             0.04305,             0.95455,             0.13207,            0.044957,             0.07199,            0.014477,            0.041289,            0.068445,           0.0034446,           0.0034446
                   9,            0.069015,            0.021056,            0.040566,            0.052531,             0.88636,            0.062838,            0.024166,            0.075387,            0.012774,            0.038008,            0.064831,           0.0038305,           0.0038305
                  10,            0.069319,            0.024244,            0.038955,            0.052108,             0.70455,            0.063031,            0.026432,            0.077654,            0.012192,            0.036772,            0.061215,           0.0042149,           0.0042149
                  11,            0.065678,            0.022957,            0.037304,            0.082532,             0.47576,             0.10308,            0.027212,            0.079069,            0.011841,            0.036965,            0.057598,           0.0045976,           0.0045976
                  12,            0.070744,            0.020761,            0.036737,            0.074191,             0.66818,            0.095543,            0.023047,            0.084015,            0.012389,            0.037253,            0.053979,           0.0049788,           0.0049788
